Ameriflux QAQC information,,,,,,,,,,,,,,,,,,
"Extracted from variable ""FP_ls"" when running amf_chk_run.R/amfqaqc_main.R",,,,,,,,,,,,,,,,,,
Rosie Howard,,,,,,,,,,,,,,,,,,
12-Mar-25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Description,Units,Min,Max,Max_buff,Min_buff,Range,N,Sites,q001.01,q001.min,q999.99,q999.max,IQR.01,IQR.min,IQR.99,IQR.max
110,STEMFLOW,Excess precipitation that drains from outlying branches and leaves and is channeled through the stems to the ground,mm,0,200,210,-10,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,SW_BC_IN,"Shortwave radiation, below canopy incoming",W m-2,0,1300,1365,-65,1300,13,4,-7.69E+00,-7.97E+00,9.66E+02,9.95E+02,1.14E+01,11.32273259,98.3336547,99.7415887
112,SW_BC_OUT,"Shortwave radiation, below canopy outgoing",W m-2,0,800,840,-40,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,SW_DIF,"Shortwave radiation, diffuse incoming",W m-2,0,750,787.5,-37.5,750,51,51,0.00E+00,0.00E+00,6.75E+02,6.84E+02,6.84E+01,68,144.4875,152.275
114,SW_DIR,"Shortwave radiation, direct incoming",W m-2,0,1300,1365,-65,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,SW_IN,"Shortwave radiation, incoming",W m-2,0,1300,1365,-65,1300,466,337,-1.65E+01,-3.47E+01,1.17E+03,1.20E+03,1.13E+02,36.4485,523.8285,565.8
116,SW_OUT,"Shortwave radiation, outgoing",W m-2,0,800,840,-40,800,332,304,-8.42E+00,-1.65E+01,6.64E+02,8.14E+02,1.76E+01,9.9,111.1193332,198.7241388
117,SWC,"Soil water content (volumetric), range 0-100",%,0,100,105,-5,100,2336,270,0.00E+00,-6.68E+00,9.93E+01,1.08E+02,5.09E-01,0.059,57.6647082,82.499999
118,SWP,Soil water potential,kPa,-750,0,37.5,-787.5,750,13,5,-5.96E+03,-5.97E+03,0.00E+00,0.00E+00,1.14E+00,1.05,3150.8656,3208.27
119,T_BOLE,Bole temperature,deg C,-50,70,76,-56,120,39,11,-4.34E+01,-4.41E+01,5.45E+01,5.45E+01,9.58E+00,9.526,24.3804355,27.10495
120,T_CANOPY,Temperature of the canopy and/or surface underneath the sensor,deg C,-50,70,76,-56,120,229,72,-4.40E+01,-4.73E+01,6.61E+01,6.81E+01,3.44E+00,2.475,25.4768008,26.7109145
121,T_SONIC,Sonic temperature,deg C,-50,50,55,-55,100,232,219,-3.58E+01,-3.73E+01,4.35E+01,4.45E+01,2.72E+00,2.2716667,22.2354937,24.6565
122,T_SONIC_SIGMA,Standard deviation of sonic temperature,deg C,0,5,5.25,-0.25,5,155,150,0.00E+00,0.00E+00,3.89E+01,8.43E+01,1.46E-01,0.09986225,0.9249387,1.3391
123,TA,Air temperature,deg C,-50,50,55,-55,100,942,399,-4.39E+01,-4.50E+01,4.18E+01,4.78E+01,2.76E+00,1.6928475,25.7457804,29.70125
124,TAU,Momentum flux,kg m-1 s-2,-10,2,2.6,-10.6,12,129,120,-2.58E+01,-1.50E+02,2.59E+00,3.15E+00,2.72E-02,0.015594,1.3323436,1.3782488
125,TAU_SSITC_TEST,"Results of the quality flagging for TAU according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)",nondimensional,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
